reso  sja  d_qt  d_ci  d_rf
0.8837209 0.9815975 0.06571376 0.1357038 0.1941491
0.8055556 1 0.01063817 0.09908421 0.09674256
0.8636364 0.9882614 0.04665994 0.1799774 0.227769
0.8409091 0.9924029 0.0130659 0.0893409 0.1237513
0.9090909 0.9947181 0.01058504 0.05788493 0.06703538
0.8 1 0.04121965 0.1353691 0.1466482
0.974359 0.9774424 0.02347896 0.03975607 0.05934227
0.8636364 0.9863727 0.02035573 0.1063131 0.1142154
0.8275862 0.9470508 0.07362347 0.1580148 0.2497528
0.9777778 0.973951 0.02835081 0.1123038 0.169642
0.9210526 0.997544 0.00389059 0.04276911 0.0505475
0.875 0.9841605 0.02683179 0.1234197 0.132355
0.826087 0.949548 0.07086957 0.1353078 0.1499831
0.875 0.943068 0.06630547 0.1148385 0.1394934
0.8837209 0.9949673 0.01422925 0.1010368 0.1088595
0.9130435 0.9961779 0.01473975 0.0931727 0.1199631
0.8604651 0.9925141 0.04441278 0.125097 0.1753045
0.9473684 0.9911345 0.015311 0.07108371 0.0756187
0.8571429 0.9623656 0.09047619 0.16444 0.2169767
0.9375 0.9552646 0.06940144 0.1507627 0.2505775
0.8478261 0.9598889 0.07336839 0.1601712 0.2451239
0.8333333 0.9584812 0.0582906 0.1584315 0.2723837
0.9354839 0.981048 0.03423107 0.09508513 0.1068409
0.9230769 0.9890725 0.02513578 0.07601413 0.08007239
0.95 0.9905002 0.01216271 0.09266078 0.1203666
0.8888889 0.9702914 0.0748586 0.1252937 0.1500721
0.8823529 0.9809497 0.02905595 0.110116 0.1473298
0.9142857 0.9635304 0.0433584 0.1272205 0.1807447
1 0.9889071 0.01109287 0.04219133 0.04800409
0.8974359 0.9883112 0.01778344 0.1010612 0.1211167
0.9512195 0.9949454 0.01094651 0.08870702 0.1147741
0.8918919 0.8932624 0.1166047 0.1387668 0.2428361
0.8918919 0.9991927 0.01282416 0.09366526 0.1109257
0.9411765 0.9580185 0.0496388 0.1171509 0.1232049
0.9130435 0.9922125 0.01136042 0.07251409 0.1258981
0.95 0.9558574 0.04517222 0.09731002 0.1402962
0.8518519 0.9943609 0.03935413 0.1211304 0.144159
0.8636364 1 0.008221344 0.05111161 0.04282635
0.9473684 0.9897204 0.01155161 0.04880985 0.08094358
0.96 0.9922366 0.01382173 0.0634371 0.07422523
0.7446809 0.9657028 0.05609205 0.2475702 0.3389709
1 0.9923248 0.007675195 0.03165584 0.03532364
0.8723404 0.9972358 0.0126053 0.08099628 0.1035629
0.8510638 0.9614946 0.06050803 0.1654171 0.2814813
0.8378378 1 0.02097057 0.09676909 0.1004034
0.9259259 0.9923723 0.01242474 0.06038398 0.07550321
0.875 0.9943752 0.01712989 0.08146267 0.09176526
0.875 0.9945398 0.06649573 0.09435116 0.1412617
0.9393939 0.9897347 0.01081402 0.09081289 0.1262814
0.9111111 0.9841062 0.01974766 0.1168625 0.1621274
0.826087 0.9818156 0.03919732 0.1321858 0.1363716
0.9444444 0.9592875 0.04761905 0.1037445 0.1290168
0.8421053 0.9529675 0.05762133 0.1282154 0.1797262
0.9 0.9916948 0.02978983 0.1002659 0.1345053
0.9375 0.9066528 0.09747899 0.1189096 0.1670012
0.9428571 0.9955148 0.02105941 0.05369793 0.08794289
0.9047619 0.9725691 0.03090708 0.1107934 0.1426441
1 0.9517787 0.04822134 0.1065419 0.1500822
0.95 1 0.0040655 0.02274651 0.02147036
0.9459459 0.9694766 0.0366725 0.1217202 0.1553516
0.8333333 1 0.03391813 0.1015971 0.1067116
0.95 0.9821981 0.02020096 0.1267517 0.1845185
0.96 1 0.006153846 0.02936325 0.03308475
0.8444444 0.999044 0.02781375 0.1148967 0.1283406
0.7906977 0.9960488 0.0168551 0.1074615 0.09930937
0.95 1 0.01312698 0.03271384 0.03500687
1 0.947162 0.05283798 0.1006842 0.1212615
0.9090909 0.9253278 0.07944664 0.2275243 0.2664438
0.9615385 0.9604565 0.04307187 0.09756004 0.1541866
0.8846154 1 0.01288367 0.05513861 0.05321013
0.975 0.9636556 0.03792237 0.08611823 0.1279973
0.8518519 0.9008758 0.1174968 0.1571791 0.2208026
0.925 0.9931742 0.02811766 0.09650544 0.1462774
0.8695652 0.9850031 0.03274247 0.1060053 0.1167734
0.9230769 0.9988867 0.009473285 0.04373182 0.03586996
1 1 0 0 0
0.8717949 0.9933377 0.02234879 0.1384624 0.1801769
1 0.995098 0.004901961 0.03661169 0.03227958
0.902439 1 0.07009156 0.07378208 0.08043786
0.9473684 0.9862759 0.03499658 0.05576026 0.1098177
0.8947368 0.9992623 0.005455712 0.05253262 0.05253407
0.9318182 0.9629976 0.04260926 0.08778322 0.1495586
0.9230769 0.9976108 0.02550701 0.08931437 0.1031275
0.9428571 0.9740505 0.03126058 0.112504 0.1741997
1 0.9855092 0.01449077 0.1005118 0.09283733
0.9736842 0.9979141 0.005006418 0.03235239 0.03704022
0.7666667 0.9745318 0.05103861 0.1697493 0.2083815
0.75 1 0.03992095 0.1257846 0.1190395
0.8846154 0.9988308 0.03296703 0.07152851 0.06854135
0.875 1 0.01794872 0.07137758 0.07343673
0.9302326 1 0.005656157 0.02303664 0.01887148
0.9142857 0.9954537 0.02164872 0.09394621 0.1165543
0.9347826 0.99528 0.01762824 0.08529902 0.1141189
0.9375 0.9129534 0.08875129 0.1011627 0.1217829
0.95 0.9819203 0.02309375 0.08919851 0.1193118
0.9130435 0.9997645 0.03932489 0.07789818 0.08521301
0.9666667 0.9866784 0.01432063 0.0690559 0.06937646
0.8571429 0.9875272 0.02297791 0.0995486 0.1189171
0.8947368 0.9876513 0.02816234 0.1115003 0.1504097
0.9677419 0.9751345 0.02575686 0.1138526 0.1581735
