reso  sja  d_qt  d_ci  d_rf
0.9069767 0.9856483 0.04441585 0.1563625 0.1981447
0.6388889 1 0.06664357 0.2103543 0.2073972
0.7954545 0.9841502 0.05507527 0.1926468 0.2595979
0.8863636 0.9590212 0.04293724 0.1203073 0.1896458
0.8181818 0.9780173 0.03502088 0.1337723 0.1646339
0.95 0.9832383 0.03116883 0.07808071 0.09902639
0.9230769 0.9561793 0.05961762 0.1065478 0.153832
0.9090909 0.9829845 0.02205534 0.1129981 0.1206559
0.7931034 0.9475964 0.08623471 0.2016414 0.2762596
0.8666667 0.9899965 0.04234762 0.11112 0.1384877
0.8684211 0.9937089 0.03194431 0.1011583 0.1539329
0.9375 0.9690776 0.03818369 0.1715652 0.1998247
0.9565217 0.9693905 0.0373913 0.1317093 0.1673261
0.9375 0.926943 0.0748194 0.1255083 0.1811323
0.9069767 0.9765398 0.0327144 0.1278867 0.1666561
0.8478261 0.9966023 0.01573562 0.09089227 0.1032881
0.7906977 0.98438 0.06007905 0.1567047 0.2181413
0.8947368 0.9911663 0.01353383 0.06791277 0.07261492
0.8571429 0.9623656 0.09047619 0.16444 0.2169767
0.9375 1 0.002063983 0.02195128 0.01590143
0.6304348 0.9840647 0.08135655 0.2860636 0.3720091
0.875 0.9819341 0.03487179 0.1103929 0.1288495
0.9032258 0.9859799 0.01865189 0.05621152 0.08225733
0.7692308 0.9627582 0.09820639 0.2164536 0.2854439
0.775 0.9977611 0.0244105 0.169864 0.179855
0.8148148 0.9939751 0.06918446 0.1242457 0.1525446
0.8823529 0.9600315 0.04933 0.1722443 0.2400751
0.8857143 0.9943322 0.02619386 0.1029335 0.1171792
0.8888889 0.966073 0.06739646 0.1912377 0.2834149
0.9230769 0.9841904 0.02472081 0.1037585 0.2205634
0.8536585 0.9807035 0.03370509 0.1177243 0.1659372
0.7567568 0.9893545 0.06541744 0.1902438 0.2313909
0.8918919 0.9768305 0.0289036 0.1358039 0.2390539
0.8235294 1 0.02982456 0.06585331 0.05081605
0.8478261 0.9956763 0.01627839 0.1057108 0.1444057
0.85 0.9824869 0.03331451 0.1009837 0.1233226
0.8148148 0.9944598 0.03103448 0.1362328 0.1564954
0.8181818 0.9531674 0.06399209 0.1904262 0.2095913
0.9473684 0.9756031 0.02563226 0.127735 0.1577034
0.8 0.9719946 0.08925519 0.1945528 0.2782347
0.6808511 0.9606454 0.0598046 0.2911858 0.3961663
0.8275862 0.9936726 0.03135428 0.1461415 0.15729
0.8297872 0.9381032 0.07049718 0.170003 0.2224496
0.8510638 0.9660202 0.04866261 0.1789895 0.2478675
