reso  sja  d_qt  d_ci  d_rf
0.9302326 0.9907723 0.01112541 0.06359059 0.07474688
0.9166667 0.9952051 0.01029775 0.08657992 0.09686755
0.8863636 0.986192 0.03964062 0.1425902 0.2051925
0.9090909 0.9890582 0.02187649 0.1190169 0.1528706
0.9090909 1 0.005124324 0.03147621 0.02651807
0.95 0.9696935 0.03794466 0.07661422 0.1129487
1 0.9980702 0.001929778 0.01601253 0.02554542
0.8636364 1 0.01193676 0.07049953 0.06988058
0.9310345 0.9410169 0.07042547 0.1377602 0.2602272
0.9777778 0.9867626 0.01810052 0.05719913 0.0929666
0.9736842 0.9992685 0.001263948 0.01576273 0.02801037
0.875 0.9841605 0.02683179 0.1234197 0.132355
0.8695652 0.9818519 0.03113712 0.09128696 0.116705
0.9375 0.9829016 0.01909185 0.07957373 0.08001667
0.8837209 0.9968916 0.01118056 0.08581927 0.08369588
0.9565217 0.9950319 0.01184655 0.0701569 0.09171205
0.9302326 0.9552116 0.04695591 0.09161495 0.1840875
0.9473684 0.9907179 0.03745728 0.0731842 0.08152864
0.8571429 0.9623656 0.09047619 0.16444 0.2169767
0.9375 1 0.02708978 0.04146077 0.04667437
0.8478261 0.9686398 0.07850818 0.1830438 0.2388463
0.9583333 0.9582888 0.06051282 0.1060931 0.1727967
0.9354839 1 0.009325944 0.02603979 0.02306517
0.7692308 0.9766412 0.08761736 0.1929973 0.2188531
0.95 1 0.003225022 0.02572494 0.02589448
0.8518519 0.962503 0.08412698 0.1544295 0.2097397
0.8823529 0.9789588 0.03264441 0.1069047 0.1339231
0.8571429 0.9932089 0.01986046 0.08289649 0.1111932
0.9259259 1 0.002317095 0.02675717 0.02168872
1 0.9731261 0.02687394 0.06611089 0.1188744
0.9756098 0.9964547 0.003837909 0.04070266 0.06149622
0.8648649 0.8953816 0.1175238 0.1671377 0.2465904
0.9189189 0.9861638 0.02017726 0.09552776 0.1575408
0.8823529 0.9694138 0.04385965 0.09349709 0.09323269
0.9347826 0.993704 0.01294625 0.07278985 0.07718007
1 0.9830604 0.01693958 0.03901922 0.07032581
0.9259259 0.994477 0.02955665 0.07202079 0.07860858
0.9545455 1 0.004426877 0.02827315 0.03020948
1 0.9871497 0.01285031 0.05783821 0.09151596
0.96 0.9788625 0.02422466 0.09923518 0.1274454
0.8085106 0.961791 0.05329787 0.2249689 0.3248986
0.9310345 1 0.006159622 0.03252167 0.03133217
0.893617 0.9446134 0.06335215 0.1297359 0.1856936
0.8297872 0.9712055 0.04132653 0.1381384 0.2042397
0.972973 0.997014 0.00460116 0.04840344 0.06418017
0.9259259 0.9923622 0.01308155 0.06615433 0.06648474
0.95 0.9862942 0.02044405 0.05561872 0.08446696
0.8333333 0.8767259 0.1315385 0.1741055 0.2447763
0.9090909 0.9915714 0.01286818 0.106605 0.1443968
0.9555556 0.9922174 0.009515366 0.05991709 0.06850265
0.9130435 1 0.01080268 0.04322991 0.04210904
0.8888889 1 0.02756892 0.07977168 0.0924053
0.8421053 0.9926724 0.03123718 0.1027545 0.1374548
0.9333333 0.9839543 0.01942815 0.1087862 0.1430581
0.90625 0.9993738 0.01262414 0.06239933 0.06769258
0.9714286 0.9930195 0.01010635 0.0521297 0.08349088
0.9047619 0.9897599 0.02234974 0.1174874 0.1502482
0.9545455 0.986077 0.03083004 0.08465227 0.1234598
0.9 1 0.007227555 0.04081014 0.03460899
0.9189189 0.9960023 0.01126491 0.08256217 0.0893235
0.8888889 1 0.02740184 0.0596574 0.05974168
0.95 0.9550114 0.04892634 0.09437704 0.1085195
0.88 0.9681226 0.05245421 0.09914537 0.1371394
0.9777778 0.9966888 0.003535821 0.05194376 0.04858967
0.8372093 0.9949917 0.01062598 0.08503395 0.1290231
0.95 1 0.01358075 0.03524713 0.03873887
1 1 0 0 0
0.8636364 0.9303503 0.07652174 0.1899073 0.2267893
0.8846154 0.9742787 0.03418803 0.08097569 0.08748968
1 1 0 0 0
0.975 0.9643888 0.03590471 0.08013652 0.1158165
0.8888889 0.997851 0.06042693 0.102147 0.1297575
0.975 0.9987648 0.002649704 0.0295932 0.03464629
0.9130435 1 0.02327759 0.0620883 0.07081155
0.9230769 0.9988648 0.01894657 0.05588616 0.05263203
0.8333333 1 0.02380952 0.07695838 0.06262106
0.8461538 0.9675627 0.04746717 0.1618122 0.2157871
1 0.9901961 0.009803922 0.07322337 0.06455916
0.9268293 1 0.04349508 0.049873 0.05324983
0.9473684 1 0.006561859 0.0182402 0.01330456
0.8947368 0.9577273 0.04750667 0.08035075 0.1188837
0.9772727 1 0.01726796 0.0241208 0.02828003
0.8974359 0.9784836 0.03270794 0.06889932 0.08480177
0.8857143 0.9793886 0.03240534 0.09415606 0.1230302
0.9473684 1 0.006561859 0.03036705 0.03221571
0.9473684 0.9833366 0.01995655 0.07806704 0.1256907
0.9333333 0.9735322 0.03130499 0.1458927 0.1797218
0.75 1 0.03992095 0.1257846 0.1190395
0.9230769 0.9949921 0.00892594 0.07190886 0.06151998
0.9583333 0.9690828 0.03316239 0.0799942 0.09575716
0.9767442 1 0.0003768729 0.00577426 0.003774118
0.9142857 0.9955588 0.0102215 0.07542369 0.08829152
0.9130435 0.9963064 0.03831486 0.1162547 0.1357349
1 0.9091847 0.09081527 0.1049282 0.1365647
0.95 0.9727652 0.0285066 0.1147557 0.1484876
0.9347826 0.9914879 0.01328607 0.07837781 0.0876776
0.9666667 0.9911626 0.01104594 0.05227605 0.05760695
0.8214286 0.9867987 0.04997616 0.1134119 0.1769005
0.9736842 0.9711875 0.03007801 0.1189326 0.1629647
1 0.9925177 0.007482318 0.04683499 0.05457164
