reso  sja  d_qt  d_ci  d_rf
0.9069767 0.9754681 0.05092686 0.1758244 0.2379824
0.9444444 0.989231 0.01339801 0.08853788 0.119146
0.9772727 0.9769462 0.02328372 0.07307003 0.137498
0.9090909 0.9919368 0.01360413 0.08031739 0.1002014
0.9772727 0.997611 0.004866426 0.05111384 0.06272052
0.8 1 0.03670243 0.1353691 0.1466482
0.9487179 0.9861799 0.04552846 0.1040397 0.1530657
0.8636364 0.9697042 0.03426877 0.1670829 0.1780275
0.7586207 0.9911608 0.06733871 0.2186731 0.2386077
0.8888889 0.9646405 0.04516908 0.1269888 0.1765492
0.9736842 0.9694989 0.03184556 0.04273978 0.05863002
1 0.9814241 0.01857585 0.04141679 0.09685195
0.8695652 0.9488435 0.05866221 0.137924 0.1842594
0.9375 0.9787565 0.02321981 0.1149932 0.1116445
0.9302326 0.981923 0.03586727 0.1241314 0.1764546
0.8695652 0.9983639 0.01694151 0.09351044 0.112869
0.8372093 0.9955075 0.0329534 0.1293182 0.1446238
0.8947368 1 0.01503759 0.05890317 0.0603593
0.7142857 1 0.07380952 0.1684849 0.1699871
1 0.995872 0.004127967 0.03487002 0.03130506
0.8695652 0.9875665 0.02471493 0.1119965 0.1399744
0.9583333 0.9796296 0.02774929 0.06372312 0.1370413
0.9032258 0.98493 0.03164352 0.08830796 0.09282659
0.8076923 0.9647079 0.04317713 0.1510721 0.1859668
0.925 0.9759993 0.02913054 0.1047422 0.2198657
0.9259259 0.8454437 0.1627623 0.2103522 0.3019644
0.8823529 0.986239 0.02919222 0.08623869 0.1158376
0.9142857 0.9762195 0.04558017 0.1360894 0.1712765
0.9259259 0.9942383 0.02422916 0.1099994 0.1374571
0.8717949 0.9967972 0.01774323 0.1039908 0.1423114
0.902439 0.9916526 0.01536269 0.1197483 0.1370454
0.8918919 0.9786271 0.07069154 0.1762864 0.2262256
0.9189189 0.9963839 0.007331218 0.07339927 0.07717662
0.9411765 0.9733333 0.03106295 0.1224434 0.1351757
0.8913043 0.993841 0.04587117 0.07601278 0.08779103
0.8 1 0.02868436 0.09761667 0.09127088
