reso  sja  d_qt  d_ci  d_rf
0.8837209 0.9859755 0.01775899 0.140498 0.1731669
0.7777778 0.98685 0.02737353 0.1593244 0.2117276
0.8636364 0.9989954 0.03215878 0.1163532 0.1288458
0.8636364 0.9868968 0.02271746 0.102049 0.1671854
0.8409091 0.977918 0.05274017 0.181284 0.2763422
0.9 0.9791642 0.04291361 0.1601602 0.179895
0.8717949 0.9555639 0.06492897 0.1260326 0.1763532
0.9545455 0.9894602 0.01541502 0.09397722 0.1355466
0.8275862 0.9647815 0.0596079 0.1372664 0.1707469
0.8222222 0.9742147 0.04254291 0.1654749 0.2767039
0.8684211 0.995221 0.01702874 0.106347 0.1162878
0.9375 0.8788352 0.124097 0.2586362 0.3333846
0.8695652 0.9782148 0.03160535 0.1220103 0.1484158
0.8125 1 0.0126419 0.06996689 0.05069663
0.744186 0.9968632 0.03602047 0.1752699 0.2117921
0.8695652 0.9882903 0.02292851 0.1046123 0.1367355
0.8604651 0.9895258 0.03574471 0.1241792 0.216466
0.9473684 0.937354 0.06479836 0.1185151 0.1392135
0.7142857 0.8723404 0.1666667 0.2849098 0.3273631
0.875 0.9785258 0.0745614 0.1856991 0.2350648
0.7608696 0.9968124 0.06451415 0.1901418 0.210363
0.7916667 0.9895495 0.03555556 0.1436914 0.194603
1 0.9846688 0.01533121 0.06745579 0.09321456
0.8846154 0.9651112 0.05096628 0.2058648 0.2546612
0.9 0.9918215 0.04000486 0.1128026 0.1936276
0.9259259 0.9673566 0.04026637 0.109613 0.1430898
0.8529412 0.9719038 0.03817094 0.130996 0.1836429
0.8857143 0.9486253 0.06607058 0.1384524 0.1957612
0.8518519 0.9979545 0.02032476 0.118365 0.124364
0.8461538 0.9833355 0.0296882 0.1546897 0.2349661
0.8292683 0.9727995 0.04211755 0.1237716 0.1539565
0.7837838 0.8956177 0.1164296 0.2087072 0.2782593
0.9189189 0.9917636 0.01850859 0.1267655 0.1655334
0.7647059 0.9681416 0.06326109 0.1488106 0.188123
0.9565217 0.9710278 0.03023939 0.1184412 0.2193265
0.95 0.9611717 0.04664032 0.1068275 0.1369198
0.8148148 1 0.06296296 0.1099336 0.1127585
0.9090909 0.9800211 0.0327668 0.1002279 0.1388864
0.9473684 0.9874309 0.01756664 0.06313201 0.1174648
0.68 0.9985417 0.08258852 0.1974449 0.1904565
0.7446809 0.9980417 0.05054711 0.2285246 0.2576423
0.9310345 0.9816958 0.02431869 0.07318225 0.122643
0.8085106 0.9907744 0.06296787 0.1785398 0.2493707
