reso  sja  d_qt  d_ci  d_rf
0.9302326 0.9926344 0.01226522 0.08601868 0.1063948
0.9166667 0.998739 0.009507483 0.05982728 0.058169
0.9545455 0.9805215 0.03334735 0.08035319 0.1468983
0.9318182 0.9962189 0.007024921 0.05156277 0.09766577
0.9090909 0.993474 0.02094581 0.09735196 0.1161081
0.8 1 0.03568605 0.1103493 0.109975
0.974359 0.937886 0.0622666 0.1162819 0.1706983
0.9545455 0.9194268 0.08355731 0.1733555 0.2594206
0.8965517 0.9991574 0.02227475 0.1041732 0.1150613
0.8888889 0.9956369 0.02536489 0.1035826 0.1226791
0.9473684 0.965098 0.03760245 0.09471083 0.1097471
0.9375 1 0.007739938 0.03993255 0.04412412
0.9565217 0.9723768 0.03444816 0.1052949 0.1420969
1 1 0 0 0
0.8837209 0.9910118 0.01961577 0.1201808 0.1652669
0.9130435 0.9899069 0.0120377 0.09045771 0.09914322
0.9069767 0.9825061 0.03840733 0.08833834 0.1218501
0.9473684 1 0.004374573 0.01796689 0.01298162
0.8571429 0.9623656 0.09047619 0.16444 0.2169767
0.9375 1 0.002063983 0.02195128 0.01590143
0.9130435 0.9508645 0.07319847 0.1318273 0.2092625
0.8333333 0.9753133 0.06555556 0.1517583 0.2060928
0.8709677 0.9881003 0.03211791 0.08558796 0.08806437
0.8461538 1 0.01359943 0.08131439 0.08106522
1 0.9942468 0.00575318 0.05182022 0.05387857
0.8518519 0.9750575 0.0552089 0.1541518 0.2334798
1 0.958604 0.04139602 0.1364664 0.1844637
0.9142857 0.9531374 0.06522387 0.1749251 0.2242146
0.9259259 1 0.006039044 0.04199001 0.04322537
0.9487179 0.9915721 0.01642098 0.06568913 0.08159858
0.9268293 0.9836215 0.01798882 0.06577923 0.09064422
0.8378378 0.9936823 0.05879746 0.1477457 0.1797496
0.8648649 0.9974307 0.01487034 0.10468 0.1141415
0.9411765 0.9545359 0.05221878 0.1391415 0.1811823
0.9565217 0.998793 0.0201769 0.03386558 0.05099149
1 0.9977414 0.002258611 0.02507591 0.02223925
0.8888889 0.994647 0.01444992 0.08054354 0.0910972
0.9545455 1 0.001660079 0.01237875 0.008158473
0.8947368 0.9755691 0.0316473 0.1076423 0.1140532
0.92 0.9803319 0.04197802 0.1012131 0.133621
0.8085106 0.9880686 0.02770517 0.1880356 0.2211798
1 0.9923248 0.007675195 0.03165584 0.03532364
0.893617 0.9862839 0.02107903 0.1170395 0.1682245
0.8723404 0.996238 0.02174121 0.1237753 0.1631736
0.972973 0.9662794 0.03625123 0.08422814 0.1199772
0.8148148 0.9480359 0.06425835 0.13332 0.1784272
0.85 0.9800254 0.03069848 0.08702596 0.1532028
0.875 0.8831237 0.1234473 0.1178214 0.1431543
0.8787879 0.9806291 0.03202614 0.1504939 0.2060625
1 0.9941412 0.005858773 0.02037306 0.02471153
0.8695652 0.9957023 0.01394649 0.07250342 0.09255427
1 1 0 0 0
0.8947368 0.9535141 0.0518797 0.1078837 0.1645686
0.9333333 0.9934021 0.01388074 0.08576954 0.1042745
0.96875 0.8286343 0.1749809 0.1565002 0.2407616
0.9428571 0.9930323 0.02069363 0.06998893 0.1132851
1 0.9963757 0.003624283 0.01962569 0.02534303
0.9545455 0.9857502 0.04189723 0.08408537 0.1181164
0.95 1 0.0173913 0.03854022 0.04560073
0.9459459 0.9948802 0.008190174 0.04798743 0.1024399
0.9444444 1 0.02339181 0.04009254 0.04581803
0.825 0.9861051 0.04246009 0.1411521 0.164313
1 0.9572161 0.04278388 0.07109852 0.1108597
0.9111111 0.9668093 0.07007144 0.1157669 0.1699646
0.9069767 0.9935626 0.01183626 0.0906284 0.1218332
0.95 0.9671649 0.03447046 0.08345956 0.1140437
1 1 0 0 0
0.9090909 0.9544345 0.05849802 0.1504866 0.2232207
0.9230769 0.9959946 0.02033599 0.08189367 0.1007372
0.9230769 0.9894742 0.04185087 0.09137559 0.1294689
0.95 0.9981408 0.004999595 0.04454024 0.05042738
0.8148148 0.9572891 0.08587849 0.158119 0.2315732
0.95 0.9984154 0.01063933 0.04465354 0.05541856
0.9130435 0.9628169 0.04458194 0.1195521 0.1683432
0.9615385 0.9948684 0.02088333 0.06607641 0.07248611
1 1 0 0 0
0.8974359 0.9982921 0.01256589 0.08611824 0.1036717
1 0.9908497 0.009150327 0.03987179 0.05360527
0.9756098 0.9974808 0.003955772 0.03305354 0.06697717
0.9473684 1 0.02187286 0.04222651 0.0505362
0.9736842 0.9955582 0.01305421 0.03675915 0.07704268
0.9545455 0.9447167 0.05684411 0.06181256 0.1383972
0.8717949 0.9797687 0.03304744 0.0932883 0.1038471
0.9142857 0.9717847 0.03336043 0.09126851 0.1607717
1 0.9974026 0.002597403 0.0267778 0.02364273
0.9736842 1 0.0003653599 0.009690358 0.008474753
0.9 0.9833408 0.02636852 0.1315254 0.1349542
