reso  sja  d_qt  d_ci  d_rf
0.8604651 0.9959082 0.02245611 0.1128047 0.1347607
0.75 0.9938255 0.02840087 0.1798037 0.2190512
0.8863636 0.9370633 0.07001093 0.1667748 0.2430633
0.8409091 0.9970886 0.009892636 0.0921912 0.09973225
0.8863636 0.9786314 0.03661593 0.1306441 0.1826393
0.8 0.9591037 0.07656691 0.2054306 0.3283635
0.8974359 0.9449567 0.05894309 0.1182692 0.1865651
0.8636364 0.8984283 0.1272727 0.1656626 0.311374
0.7586207 0.9626262 0.07694661 0.2200742 0.2677072
0.8888889 1 0.008233117 0.0569644 0.05637842
0.8947368 0.9975215 0.008423028 0.08415608 0.09186774
0.875 0.7545748 0.255934 0.3029641 0.4502116
0.9565217 1 0.0007692308 0.0141613 0.01008415
0.875 1 0.004127967 0.04558153 0.0332361
0.7209302 0.9657013 0.07182645 0.2953316 0.4429226
0.9347826 0.9955394 0.01237044 0.107531 0.1369164
0.8139535 0.9240376 0.08656433 0.1913975 0.4126233
1 0.9950786 0.004921394 0.03069195 0.04320677
1 0.7619048 0.2380952 0.2868479 0.3931625
0.9375 0.9958398 0.007997936 0.04183756 0.05895122
0.8043478 0.9977801 0.03222404 0.1352559 0.1566972
0.7916667 0.9739389 0.06478632 0.19549 0.2234663
0.8064516 0.9820318 0.09044549 0.2579206 0.3105673
0.8461538 0.986613 0.06229211 0.136763 0.1729621
0.825 0.9954145 0.02200794 0.1415937 0.1713328
0.7777778 0.987264 0.0658274 0.1635228 0.2097333
0.8235294 0.9726757 0.04844424 0.1517361 0.2230773
0.7714286 0.9688949 0.06153898 0.1722774 0.1925275
0.962963 0.9665812 0.04199964 0.1210498 0.1669993
0.974359 0.9737962 0.02652551 0.09922628 0.1446629
0.7804878 0.9888813 0.01901275 0.1741717 0.21458
0.8648649 0.9931345 0.02135901 0.1169839 0.1518061
1 0.9337783 0.06622169 0.141069 0.2615068
0.8823529 0.9421523 0.07089783 0.1851541 0.2257913
0.9130435 0.9415012 0.06179322 0.1280964 0.2147151
0.9 1 0.01908526 0.04210251 0.03725036
0.8148148 0.9989593 0.02764094 0.1296223 0.1309984
0.8181818 0.9724913 0.06822134 0.2255101 0.2510556
0.8421053 0.9535411 0.06226931 0.1531879 0.2471486
0.92 0.9878701 0.01873016 0.09239434 0.09815649
0.7234043 0.8791776 0.1630851 0.2876841 0.4836993
0.9310345 0.9675619 0.05266963 0.1095985 0.1731585
0.8297872 0.9903278 0.02761398 0.1743555 0.2209006
0.7659574 0.9954161 0.05089449 0.2243002 0.2465321
0.8108108 0.9885334 0.06691104 0.1604885 0.2345735
0.8888889 0.9961969 0.02391899 0.08322492 0.0902494
0.825 0.9819231 0.03857062 0.1756338 0.2233771
0.875 0.8782538 0.1282336 0.1446329 0.2005558
0.7878788 0.9581856 0.0898226 0.2120001 0.2952123
0.8888889 0.9874328 0.01462637 0.1352588 0.1585416
0.7826087 0.9952509 0.03264214 0.1707315 0.1958997
0.9444444 1 0.007518797 0.03147309 0.0335011
0.7894737 1 0.05604921 0.1318036 0.1399832
0.7333333 0.9167889 0.1319282 0.3023751 0.3943753
0.84375 0.9106914 0.1204163 0.1448671 0.1703075
0.9428571 0.936648 0.06562352 0.1289111 0.2159664
0.7857143 0.9907664 0.03198094 0.2008241 0.240819
0.9090909 0.9464744 0.05952569 0.1608523 0.2242983
0.85 0.9976301 0.02574816 0.1034552 0.09794222
0.8378378 0.9876438 0.02843309 0.1224775 0.1681606
0.8888889 0.945138 0.0770259 0.1864106 0.2453774
0.75 0.9778638 0.07668341 0.2185364 0.27575
0.88 1 0.02432234 0.08650338 0.09638814
0.9111111 0.9474792 0.05643951 0.1780648 0.2585359
0.8139535 0.9899434 0.04620829 0.1787792 0.2229398
0.8 0.9773138 0.0509359 0.143545 0.2051703
0.9411765 0.9964383 0.01093911 0.07064072 0.07097611
0.7272727 0.9276277 0.0983004 0.2508425 0.2946725
0.9230769 0.9816662 0.02214644 0.0596705 0.0860373
0.8846154 1 0.006441834 0.04865466 0.04379467
0.85 0.9905585 0.0444575 0.1412388 0.1849244
0.7407407 0.9395973 0.117588 0.2018337 0.283647
0.85 0.9976234 0.04190098 0.1284135 0.1492037
0.7826087 0.9677643 0.04769231 0.1889534 0.2915872
0.9230769 0.906402 0.1095112 0.08697982 0.1236063
0.8333333 0.95 0.07142857 0.2121667 0.1878632
0.8717949 0.9861285 0.02471634 0.1315264 0.1727485
0.8666667 0.9725753 0.03823529 0.1688001 0.2068411
0.804878 0.9040683 0.1417853 0.1948979 0.2891272
0.8947368 0.9882006 0.02488038 0.08766777 0.08170126
0.7368421 0.9995815 0.0521181 0.1887923 0.1968884
0.9545455 0.9851418 0.03173268 0.06907755 0.1193139
0.7948718 0.9992894 0.02294738 0.1504612 0.1563309
0.8285714 0.9416774 0.07772133 0.1817664 0.2855576
0.7894737 0.9859588 0.04579631 0.142929 0.1663526
0.8947368 0.9856823 0.01966031 0.08052671 0.1587534
0.6666667 0.9791384 0.05995846 0.2744522 0.3391441
0.75 0.9910581 0.05347261 0.1601347 0.1600583
0.8846154 0.9238434 0.07915456 0.1498088 0.2065234
0.75 0.9537378 0.1143875 0.2613651 0.3127872
0.8837209 0.9841173 0.03583356 0.0969671 0.1358167
0.8285714 0.9971018 0.04455734 0.1572674 0.1825837
0.8043478 0.9759144 0.1642683 0.2193702 0.3462317
0.875 0.9827357 0.124871 0.1562105 0.1836877
0.925 0.9777545 0.04927478 0.1587437 0.2002105
0.7173913 0.9693007 0.181382 0.2839894 0.3829866
0.9666667 0.9911596 0.01121701 0.04087169 0.07564014
0.8214286 0.9644552 0.08015255 0.147969 0.1816501
0.7631579 0.9400649 0.1118199 0.2052628 0.3298325
0.9354839 0.9752125 0.0262528 0.1258302 0.1494663
