reso  sja  d_qt  d_ci  d_rf
0.9069767 0.9957206 0.02084138 0.07375693 0.1145345
0.8888889 0.990633 0.03003003 0.09958148 0.1253923
0.9111111 0.9788096 0.03305021 0.1016391 0.1627595
0.9333333 0.9949339 0.008143414 0.06746723 0.07998785
0.8409091 0.9919384 0.0299274 0.1003638 0.1696414
0.9047619 0.9571083 0.05228684 0.1155398 0.21617
0.925 0.9537653 0.06798445 0.1112425 0.1653842
0.9130435 0.9963816 0.02284585 0.1084883 0.120899
0.8965517 0.9820466 0.0400584 0.08735021 0.1304135
0.9333333 0.9827407 0.02003546 0.08915418 0.1365832
0.9230769 1 0.01788289 0.05722049 0.06303763
0.9411765 1 0.007739938 0.03993255 0.04412412
0.9583333 0.9724901 0.0312709 0.1002363 0.1449707
1 0.9917441 0.008255934 0.07077069 0.064334
0.9090909 0.9872271 0.01472255 0.07068134 0.104118
0.9574468 0.9990017 0.004589949 0.02250251 0.0343362
0.8604651 0.997332 0.03394001 0.1211288 0.1366263
0.9473684 0.9907179 0.03745728 0.0731842 0.08152864
1 1 0 0 0
1 0.9416925 0.05830753 0.1042727 0.1233856
0.893617 0.928563 0.0730734 0.1508994 0.205422
0.9166667 1 0.005584046 0.0304179 0.02466318
0.96875 0.9700922 0.03363809 0.08521292 0.1229751
0.9259259 1 0.01115742 0.03820524 0.03777533
1 0.9758528 0.02414715 0.07188825 0.1241211
0.9285714 0.9962267 0.03931764 0.06311276 0.0751936
0.8571429 0.998018 0.02823832 0.09835875 0.09692194
0.9444444 0.9857245 0.02061234 0.06531409 0.1495763
1 0.9944536 0.005546433 0.04640557 0.05365613
0.925 0.9842482 0.02127222 0.1002865 0.1492189
0.9268293 0.9981881 0.02199984 0.06832903 0.07789055
0.9210526 0.9033911 0.1019586 0.09522639 0.1311887
0.9473684 0.9908296 0.01741985 0.1109698 0.1452663
0.8888889 1 0.01320949 0.05932867 0.05743908
0.9787234 0.9787637 0.03416149 0.05190339 0.08846227
1 0.9808018 0.01919819 0.06414947 0.09263427
0.9642857 0.9831405 0.02003284 0.06256142 0.07175545
0.8695652 0.9907925 0.02806324 0.1055331 0.1106734
0.85 0.9749822 0.04319891 0.1288 0.1724366
0.9230769 0.9482912 0.05794872 0.1070512 0.1413956
0.8541667 0.9794423 0.03467868 0.1455986 0.2748829
1 0.9956618 0.004338154 0.02604215 0.02502212
0.875 0.9870161 0.02180851 0.1088555 0.1379124
0.9166667 0.9755879 0.03245766 0.1136451 0.1748433
0.9736842 0.9929628 0.02093227 0.06774349 0.1112281
0.962963 0.9844312 0.0185915 0.0865776 0.1262357
0.9512195 0.9813589 0.02376631 0.0674317 0.1078636
0.9166667 0.8788718 0.1257265 0.1284533 0.1644975
0.9411765 0.9923669 0.009413462 0.05135866 0.1016492
0.9565217 0.9908148 0.01062802 0.06945007 0.07492465
0.9583333 0.9897897 0.01227425 0.04673338 0.04646953
1 1 0 0 0
0.95 0.9950324 0.009569378 0.05820103 0.07065415
1 0.9985826 0.0014174 0.01907599 0.01778387
1 1 0 0 0
0.9166667 1 0.005053173 0.03545556 0.03205679
0.9534884 0.9807429 0.0305178 0.1168791 0.1513253
1 0.9419763 0.05802372 0.1565463 0.2096232
0.95 1 0.0040655 0.02274651 0.02147036
0.9210526 1 0.003320932 0.05027458 0.05337578
0.8888889 1 0.02489557 0.0596574 0.05974168
0.9268293 0.9917539 0.01290819 0.09235073 0.09801583
1 0.9957021 0.004297924 0.03079548 0.02967262
0.826087 0.9592332 0.04843252 0.1371565 0.159744
0.8863636 0.9944084 0.01072402 0.09520081 0.1161224
0.902439 0.9964907 0.02538692 0.07518371 0.09151623
0.9411765 1 0.004643963 0.02988897 0.02989384
0.7727273 1 0.02687747 0.1182907 0.1139825
1 1 0 0 0
0.962963 0.9540133 0.04774536 0.1197171 0.2115474
0.8780488 0.9886942 0.0320598 0.1162785 0.1357528
0.8928571 1 0.04473636 0.08410119 0.09655896
0.95 0.9964377 0.01669233 0.04835548 0.07708125
0.9166667 0.9900873 0.0270903 0.1046033 0.1102259
1 0.9832428 0.01675719 0.06779084 0.07025328
1 1 0 0 0
0.875 0.9983296 0.01223533 0.09718073 0.1152974
0.9375 0.9950348 0.01127451 0.06038458 0.04921367
0.9047619 0.9947929 0.08841555 0.124681 0.1430147
0.8421053 1 0.0456596 0.1023958 0.1115216
0.8974359 0.9415313 0.08002864 0.1181823 0.174481
0.9777778 0.961615 0.04624226 0.1124678 0.2266146
0.95 0.9963632 0.008599124 0.07024776 0.07895735
0.8611111 1 0.01754386 0.07142274 0.06998722
1 1 0 0 0
0.974359 1 0.001955169 0.01186018 0.0115137
0.7741935 1 0.02304497 0.1198783 0.1151766
0.8 0.9915314 0.02806324 0.1253444 0.1237556
0.962963 0.9870892 0.01393626 0.1132441 0.1134403
1 1 0 0 0
0.9534884 0.9872161 0.01444986 0.049857 0.05984336
0.9428571 0.9761403 0.02553682 0.06600847 0.07572133
0.9347826 0.9936861 0.01582529 0.09083474 0.1061962
1 0.995872 0.004127967 0.03664799 0.03390043
0.9756098 0.9651354 0.03644761 0.1111278 0.1508812
0.8723404 1 0.0472399 0.09371043 0.1012062
0.9677419 0.9992633 0.003152493 0.03736959 0.03786009
0.8928571 0.977275 0.03944065 0.0953813 0.1749294
0.9487179 0.9982836 0.01265923 0.04856342 0.0487846
0.96875 0.9880302 0.01470588 0.05118528 0.07470443
