reso  sja  d_qt  d_ci  d_rf
0.9069767 0.9703492 0.03194227 0.1047455 0.1390696
0.7222222 0.999545 0.01942834 0.1505617 0.1407369
0.9111111 0.9843594 0.0343453 0.1092236 0.14394
0.8666667 0.9972002 0.008160233 0.06437248 0.06651147
0.8863636 0.9747455 0.0322653 0.1000577 0.1442843
1 0.9539243 0.04607566 0.08662323 0.1337243
0.975 0.9576093 0.04333512 0.07496218 0.0991121
0.8695652 0.9660116 0.0426087 0.1137139 0.1530147
0.862069 0.9835413 0.05718854 0.155754 0.2106685
0.8913043 0.9982203 0.01945472 0.09062174 0.1039989
0.8974359 0.9942726 0.02448405 0.09063932 0.1006982
0.8823529 0.9809826 0.03018576 0.1350695 0.1448285
1 0.9778595 0.02214047 0.08535652 0.1028922
0.9411765 1 0.002063983 0.02228292 0.01634641
0.9318182 0.9877543 0.01524956 0.09840127 0.1115313
0.9361702 0.9961823 0.01417574 0.05856393 0.07223536
0.8837209 0.9826936 0.04399301 0.1015113 0.1595099
1 0.9842789 0.01572112 0.08661013 0.08477123
1 0.852381 0.147619 0.1952529 0.2939403
0.9411765 0.9956356 0.03121775 0.07777652 0.07944057
0.8723404 0.9791677 0.04502634 0.1151351 0.1488375
0.96 0.959849 0.04188034 0.1072599 0.1530136
0.96875 0.9975509 0.009358289 0.04184836 0.04187998
0.7777778 1 0.07492316 0.1522591 0.1631143
0.9512195 0.9755922 0.02948708 0.09118442 0.1526298
0.8148148 0.9940095 0.06668491 0.1242457 0.1525446
0.9428571 0.9764724 0.02901052 0.1147254 0.1643791
0.9166667 0.9843098 0.0379259 0.1027601 0.1509079
0.9642857 0.9773656 0.03517606 0.08146308 0.1270355
0.875 0.9976456 0.01846243 0.1176259 0.1257777
0.9268293 0.991705 0.02883957 0.1114931 0.1958509
0.8684211 0.8938279 0.1095032 0.153356 0.2335967
0.9473684 0.9720745 0.03090601 0.1432157 0.2366667
0.9411765 1 0.001754386 0.01907799 0.01333631
0.893617 0.9910271 0.05162454 0.08221335 0.1644021
0.952381 0.9977363 0.003387916 0.0414875 0.03373398
0.8214286 0.9943761 0.03809524 0.1332522 0.1525824
0.9090909 0.9705111 0.04592885 0.1183471 0.1858119
1 0.9756664 0.02433356 0.08991594 0.1661127
0.8846154 0.9740689 0.05177045 0.1080588 0.1841332
0.8297872 0.9828671 0.05295267 0.1979166 0.2307212
1 1 0 0 0
0.8541667 0.937865 0.0773947 0.1690903 0.2350106
0.875 0.9831524 0.02544073 0.1065206 0.1222686
0.8421053 0.9934828 0.03933144 0.1257963 0.1701219
0.9642857 0.986727 0.01694946 0.07509937 0.08437051
0.902439 0.9751301 0.03744024 0.1071866 0.1457736
0.92 0.8786411 0.1259544 0.1291804 0.1634354
0.9117647 0.9953463 0.006688736 0.06628811 0.09835286
0.9782609 0.997877 0.003435605 0.026122 0.04399905
0.9583333 0.9687374 0.03264214 0.08799378 0.1545615
0.8333333 1 0.02907268 0.1032488 0.1102515
0.95 0.9879685 0.017635 0.0756182 0.1019707
0.9032258 0.9832923 0.02001466 0.1189408 0.146952
0.8787879 0.9097263 0.1237968 0.1422557 0.1812206
0.9166667 0.9956328 0.02184515 0.06897807 0.1077254
0.9767442 0.9565666 0.04536394 0.1447551 0.2124554
1 0.9581028 0.04189723 0.09091586 0.1116583
1 0.9629588 0.03704122 0.0781148 0.1179997
0.9736842 0.9945137 0.005875916 0.041341 0.05896634
1 0.9532164 0.04678363 0.05469349 0.08762143
0.8292683 0.995599 0.02367717 0.1292409 0.1790725
0.8846154 0.9363985 0.08278388 0.1189285 0.3332124
0.9333333 0.9955232 0.00566862 0.08041692 0.08550817
0.8636364 0.9868335 0.02168091 0.1323908 0.1719246
0.9268293 0.9987443 0.004351349 0.03979889 0.03433234
1 1 0 0 0
0.8695652 0.9047926 0.1027273 0.1880305 0.245452
0.9615385 0.9959269 0.007873353 0.05386 0.06115563
0.8518519 1 0.0247358 0.08552777 0.08646375
0.9756098 0.9618753 0.03841666 0.1023053 0.1383086
0.8571429 0.9208443 0.1042328 0.1520685 0.2403621
0.85 1 0.01679767 0.06936258 0.06529463
0.9166667 0.9833449 0.03605351 0.1028407 0.134789
0.962963 0.9755471 0.0398299 0.1198476 0.1555558
0.8333333 1 0.02380952 0.07695838 0.06262106
0.825 0.9996416 0.01430358 0.1031765 0.100165
0.9375 1 0.00245098 0.02293327 0.01640456
0.8571429 0.8820566 0.1296344 0.13339 0.2328324
0.9473684 0.9258747 0.07901572 0.1669287 0.2321257
0.8974359 0.9765007 0.05188605 0.1151911 0.1962533
0.9318182 0.9449391 0.05981555 0.1127507 0.2248961
1 0.993219 0.006781024 0.03549541 0.08108067
1 0.9795435 0.02045655 0.0793356 0.1201977
0.9 0.995009 0.01189337 0.05648791 0.08096296
1 0.9941345 0.005865508 0.02448652 0.02791401
0.8064516 0.982584 0.03547165 0.1473713 0.195494
0.8571429 0.9695668 0.05567476 0.1225739 0.1608838
1 0.9961265 0.003873521 0.03008563 0.02937638
1 0.9904274 0.00957265 0.05834608 0.08404507
0.9090909 0.9908292 0.02148175 0.1082687 0.1199228
0.9444444 0.9945931 0.01917632 0.0792651 0.08782419
0.9347826 0.9962969 0.03950424 0.08585013 0.1206011
1 0.9133127 0.08668731 0.08537364 0.1029015
0.925 0.9708586 0.04005348 0.1393243 0.1778786
0.8510638 0.9997389 0.08438898 0.1179617 0.1255234
0.9032258 0.9885297 0.0191349 0.09496061 0.1309865
0.862069 0.9735656 0.05931988 0.1358587 0.2129728
0.9230769 0.9679749 0.04691419 0.1228874 0.1971507
0.84375 0.9650392 0.1216793 0.2045958 0.3184439
