reso  sja  d_qt  d_ci  d_rf
0.9090909 0.9985066 0.009075589 0.05662022 0.05273814
0.9459459 0.9964736 0.007039428 0.04354045 0.05046992
0.9555556 0.9919513 0.02367617 0.1051581 0.1234783
0.8888889 0.9949114 0.01034115 0.0883236 0.09207618
0.9555556 0.9997511 0.004776722 0.02609253 0.02337956
0.952381 0.9696935 0.03794466 0.07661422 0.1129487
0.975 1 0.001031895 0.007171885 0.004866091
0.9130435 0.9678405 0.04 0.08904391 0.1200728
0.9655172 0.9366239 0.06605951 0.1006999 0.2220027
0.9347826 0.9950532 0.01397626 0.04635781 0.08004605
1 0.9992693 0.0007307199 0.01156388 0.01651337
0.8235294 1 0.02089783 0.1208837 0.1304881
0.9166667 0.996972 0.01695652 0.06242757 0.05507762
0.9411765 1 0.002063983 0.02228292 0.01634641
0.9090909 0.997161 0.01065968 0.0663863 0.06646576
0.9787234 0.9818439 0.01826068 0.07174569 0.09311804
0.9545455 0.9556002 0.04530441 0.07430778 0.1685531
1 0.9912509 0.008749146 0.04599556 0.0456892
1 0.852381 0.147619 0.1952529 0.2939403
0.9411765 0.9956356 0.03121775 0.07777652 0.07944057
0.9361702 0.9748095 0.0295739 0.08656041 0.1087161
0.96 0.9770355 0.03128205 0.0682598 0.1113225
0.9032258 1 0.01053347 0.03634359 0.03021649
0.8148148 1 0.07039704 0.121655 0.1292601
0.9512195 0.9965471 0.0129163 0.02998477 0.07146847
0.9285714 0.8962527 0.1048896 0.1493578 0.2203823
0.9142857 0.9989814 0.01046256 0.07056167 0.07238415
0.8888889 0.9932153 0.01939985 0.07344855 0.1045162
1 0.996351 0.003648969 0.02438403 0.03121534
0.925 0.9901675 0.01943179 0.07338452 0.08939124
0.9756098 0.9970282 0.00595944 0.03120981 0.05393818
0.9210526 0.8987555 0.1045082 0.111346 0.1705681
0.9210526 0.991643 0.01849218 0.1082197 0.1550396
0.8888889 1 0.00753354 0.03889808 0.02703315
0.9361702 0.9993481 0.02281523 0.06795625 0.08062961
1 0.9977414 0.002258611 0.02507591 0.02223925
0.9285714 0.9837453 0.03087028 0.05661928 0.08832878
1 1 0 0 0
1 0.9897471 0.0102529 0.03158402 0.06850894
0.8846154 0.9923752 0.01746032 0.08649184 0.09041736
0.9148936 0.9832016 0.02362788 0.1342837 0.1724974
0.9666667 1 0.003837597 0.022754 0.02479747
0.9375 0.9481383 0.05845636 0.0886855 0.1069097
0.9166667 0.9817814 0.02335649 0.07886776 0.1126525
0.972973 0.997014 0.00460116 0.04840344 0.06418017
0.9285714 0.9936685 0.01348294 0.07245042 0.0721897
0.9756098 0.9861134 0.01551738 0.0676315 0.06893966
0.92 0.8786411 0.1259544 0.1291804 0.1634354
0.9117647 0.9953463 0.006688736 0.06628811 0.09835286
0.9782609 0.9906092 0.009995889 0.06464575 0.0783156
0.9583333 0.9957114 0.0129097 0.04798271 0.05952166
1 0.9849624 0.01503759 0.05525232 0.05758339
0.95 0.9929935 0.009432673 0.04354883 0.0768534
0.9032258 0.9940911 0.0136608 0.09812133 0.1073144
0.969697 1 0.013178 0.02171301 0.02424508
0.9722222 0.9956198 0.009476394 0.03015692 0.06060124
0.9047619 0.9956856 0.01883285 0.0996107 0.1145085
1 0.9652174 0.03478261 0.05546234 0.06975014
0.9047619 1 0.01852061 0.05520209 0.05722403
0.9736842 0.9956619 0.004907539 0.03498239 0.03842957
0.9473684 1 0.02339181 0.04009254 0.04581803
1 0.9880237 0.01197634 0.07477888 0.1165127
0.9615385 0.9647926 0.04092796 0.09752038 0.123804
1 0.9962997 0.003700278 0.04818097 0.04712427
0.8636364 0.9956409 0.01504427 0.09006143 0.1170939
0.9512195 1 0.00226886 0.01881772 0.01653926
1 0.9851393 0.01486068 0.056855 0.05635334
0.9130435 0.9240756 0.09201581 0.2096586 0.2906704
0.962963 1 0.0005473454 0.01095339 0.007393326
1 1 0 0 0
1 0.9653351 0.03466494 0.06245326 0.08887709
0.9642857 1 0.00831965 0.02659478 0.03040287
0.9756098 1 0.0006158334 0.01075394 0.01026282
0.9166667 1 0.02327759 0.0620883 0.07081155
1 0.9989053 0.001094691 0.01708672 0.01491183
1 1 0 0 0
0.875 0.9951146 0.0155901 0.1191235 0.1226221
0.875 1 0.004901961 0.0469431 0.03335631
0.9285714 0.9144854 0.09896428 0.07096605 0.1050257
1 0.9868763 0.01312372 0.0562666 0.05817985
1 0.9779007 0.02209934 0.06461018 0.1112751
0.9772727 1 0.002573375 0.008155713 0.007076443
0.975 1 0.009505941 0.02420967 0.02781864
0.8888889 1 0.01620267 0.05944004 0.0594818
1 1 0 0 0
0.974359 0.9933901 0.00763306 0.05045302 0.05950865
0.9032258 0.9900507 0.01852395 0.1161643 0.1242699
0.8 1 0.03585545 0.09588765 0.08956956
0.962963 0.9960999 0.007283904 0.0418618 0.03746455
1 1 0 0 0
1 0.9992463 0.0007537457 0.01342755 0.01263509
1 0.9915464 0.008453566 0.05889783 0.07672449
0.9782609 0.9967597 0.006522683 0.05703512 0.06094017
1 0.9133127 0.08668731 0.08537364 0.1029015
0.9512195 0.9727962 0.02793939 0.1066032 0.1367517
0.9787234 0.991567 0.008641847 0.04735762 0.04947941
1 0.9955034 0.004496579 0.01672429 0.04824061
0.9310345 0.9873267 0.03071667 0.04629124 0.08409074
1 0.9810408 0.01895922 0.07537099 0.1018032
0.96875 0.9981135 0.004679144 0.03561327 0.04373348
