reso  sja  d_qt  d_ci  d_rf
0.9090909 0.9924513 0.01148083 0.08165297 0.1011942
0.8378378 0.9834563 0.05162247 0.1794445 0.2775045
0.8666667 0.9841002 0.02647661 0.08506668 0.1590731
0.9111111 0.973457 0.02997785 0.1192327 0.1624411
0.8222222 0.9506983 0.08260029 0.1595385 0.1983955
0.952381 0.8622187 0.1419537 0.2573183 0.3535481
0.95 0.9937821 0.02748146 0.08239249 0.1027642
0.9565217 0.9713141 0.03501976 0.1411777 0.2016778
0.8275862 0.971679 0.0660317 0.1717694 0.2489741
0.9111111 0.9744341 0.03086905 0.1133492 0.1718664
0.9473684 0.9916368 0.008906883 0.08285762 0.08714995
0.875 0.9647436 0.05108359 0.1110719 0.1824082
0.9166667 0.9782801 0.03013378 0.104842 0.1346652
1 1 0 0 0
0.8636364 0.9959028 0.01418635 0.08667562 0.1211863
0.9361702 1 0.001481999 0.03094234 0.03027842
0.9318182 0.9942622 0.01963109 0.0831584 0.1308648
0.8 0.9318182 0.125974 0.2228798 0.3024499
0.875 1 0.01666667 0.065519 0.05406458
0.8823529 0.9953569 0.05959752 0.1207166 0.1266322
0.8510638 1 0.04101928 0.07938859 0.07819207
0.84 0.9655667 0.05623932 0.1334534 0.2629721
0.96875 0.9927887 0.007848887 0.0698308 0.07741614
0.9259259 0.9221507 0.0940592 0.09489507 0.1419954
0.9512195 0.9872626 0.03441374 0.1108343 0.1536323
0.8518519 0.8566871 0.1573436 0.2182319 0.3362129
0.9142857 0.9836642 0.02301461 0.09997547 0.1874121
0.8888889 0.9811841 0.02501524 0.1128757 0.1837696
0.9285714 0.9525334 0.06166758 0.1404264 0.2006634
0.925 0.9879784 0.02166086 0.102539 0.1659242
0.804878 0.9531191 0.05643052 0.1677696 0.2262134
0.8947368 0.9973709 0.009404749 0.1086155 0.119842
0.9473684 0.9927487 0.01223329 0.1059995 0.1205361
0.9444444 0.9565037 0.04509804 0.1373214 0.2241538
0.9148936 0.9801809 0.05792067 0.1054799 0.1468324
0.8571429 1 0.01976285 0.07895499 0.07818759
0.9642857 0.9840313 0.02218573 0.04780363 0.07245654
0.9130435 0.9897428 0.02442688 0.08284506 0.08654005
0.8421053 1 0.02987013 0.1073721 0.1183466
0.8461538 1 0.0352381 0.0848519 0.08411358
0.7708333 0.9799585 0.05836735 0.2036559 0.324268
0.9666667 1 0.005506118 0.01246267 0.01076217
0.8723404 0.9876741 0.02274642 0.1357195 0.2287144
0.8125 0.96789 0.04545593 0.1702288 0.2832326
0.8947368 0.9628264 0.04661342 0.1421051 0.1972622
0.8518519 0.9892292 0.0226601 0.100238 0.1157694
0.9268293 0.980972 0.02399319 0.06859142 0.1613236
0.8333333 0.8792811 0.1308547 0.1678174 0.2155469
0.8235294 0.994999 0.04126984 0.1691689 0.1826175
0.8913043 0.9828039 0.02109415 0.0894176 0.1250119
0.9583333 0.981326 0.02070234 0.05947457 0.1384571
0.8888889 0.9969372 0.01203008 0.07029836 0.08034477
0.95 0.9834156 0.01784005 0.07734396 0.09256136
0.8709677 0.9897441 0.01687439 0.1058166 0.12469
0.8787879 0.9102564 0.1174179 0.137199 0.1634141
0.9444444 0.9914228 0.01022827 0.0867334 0.09917914
0.8809524 0.9856818 0.03829994 0.1254134 0.1627757
0.9130435 0.9798514 0.0556917 0.1312554 0.19536
0.9 0.9684616 0.04709204 0.09641045 0.1312235
0.8378378 0.9942163 0.02875588 0.1387723 0.1558221
1 0.9532164 0.04678363 0.05469349 0.08762143
0.9268293 0.9407693 0.07790293 0.153123 0.2866982
0.8461538 0.9953326 0.04388278 0.1248814 0.1774007
0.8913043 0.9936342 0.03093586 0.1216485 0.1557926
0.8372093 0.9903413 0.03863713 0.1448346 0.2152864
0.9268293 0.9742652 0.04603355 0.1080247 0.1731815
0.9444444 0.9756908 0.02745098 0.1103467 0.1533227
0.9090909 0.9831415 0.0287747 0.1151635 0.1717383
0.8846154 0.9869225 0.02029388 0.06511341 0.1021761
0.9259259 0.9427804 0.0699339 0.1367833 0.2222329
0.8780488 0.9939277 0.02412284 0.1015479 0.1378402
0.9642857 1 0.009706258 0.01908188 0.01947944
0.825 0.9846813 0.05697674 0.1215234 0.1636779
1 0.9984615 0.001538462 0.02220269 0.02028656
0.9259259 0.9626038 0.05208202 0.08753321 0.1307271
1 0.952381 0.04761905 0.1276216 0.1178615
0.825 0.9953892 0.02197355 0.1403077 0.1641314
1 0.9823529 0.01764706 0.07361626 0.08163068
0.8809524 0.9947771 0.08967153 0.1465844 0.1705807
0.85 0.9876161 0.04784689 0.1072064 0.1361842
0.9230769 0.9575339 0.04975807 0.08740692 0.1157472
0.9333333 0.9409288 0.0978331 0.1120034 0.1655238
0.925 0.9740925 0.03127401 0.1306188 0.163023
0.9444444 0.9830636 0.02936395 0.1021547 0.134966
0.95 1 0.003485988 0.01703714 0.01196278
0.974359 0.9979121 0.005480399 0.04206649 0.0560624
0.8387097 0.9810631 0.03687683 0.1490447 0.2513273
0.8095238 0.9841795 0.0541502 0.1572252 0.1701252
0.8888889 0.9958706 0.03486169 0.08458714 0.08840249
0.92 0.9639431 0.04250712 0.1306819 0.1693721
0.8409091 0.9700451 0.04997396 0.1560787 0.2324561
0.9142857 0.976019 0.02805663 0.07830834 0.09844833
0.8510638 0.9973255 0.1173517 0.1530056 0.2001328
0.9411765 0.807772 0.1934985 0.207798 0.2875874
0.85 0.9813963 0.05904708 0.1268824 0.1551869
0.8913043 0.9361407 0.08469105 0.1481662 0.195402
0.9354839 0.9992567 0.00755132 0.05676962 0.05800877
0.8275862 0.9788083 0.0727475 0.1368395 0.1668536
0.8974359 0.9453534 0.07959909 0.1436182 0.2390547
0.875 0.9848724 0.03002631 0.1146927 0.1599463
