reso  sja  d_qt  d_ci  d_rf
0.9302326 0.970357 0.03181052 0.09768089 0.1341768
0.6666667 1 0.02530668 0.173068 0.163624
0.9111111 0.9843594 0.0343453 0.1092236 0.14394
0.8444444 1 0.006775432 0.05288579 0.04278214
0.8636364 0.9760132 0.0322653 0.1042259 0.1311101
1 0.9539243 0.04607566 0.08662323 0.1337243
0.95 0.9594647 0.04237023 0.07163015 0.08624368
0.9090909 0.9982341 0.009328063 0.05754861 0.04874252
0.862069 0.9835413 0.05718854 0.155754 0.2106685
0.8913043 0.9982203 0.01945472 0.09062174 0.1039989
0.8974359 0.9942726 0.02448405 0.09063932 0.1006982
0.8823529 0.9809826 0.03018576 0.1350695 0.1448285
0.9583333 0.9783886 0.02618729 0.09235334 0.0941312
0.9411765 0.9829016 0.01909185 0.07957373 0.08001667
0.8636364 0.9878512 0.02186782 0.1228171 0.135581
0.9361702 0.9961823 0.01417574 0.05856393 0.07223536
0.8837209 0.9946743 0.03781598 0.09188352 0.1388069
1 0.9842789 0.01572112 0.08661013 0.08477123
0.875 1 0.01666667 0.065519 0.05406458
0.9411765 0.9956356 0.03121775 0.07777652 0.07944057
0.8478261 0.9789822 0.04921747 0.1338924 0.1712806
0.96 0.959849 0.04188034 0.1072599 0.1530136
0.96875 0.9975509 0.009358289 0.04184836 0.04187998
0.7777778 1 0.07492316 0.1522591 0.1631143
0.9512195 0.9790158 0.02609999 0.09242248 0.123433
0.8148148 0.9940095 0.06668491 0.1242457 0.1525446
0.9428571 0.9764724 0.02901052 0.1147254 0.1643791
0.8888889 0.9941208 0.04342613 0.1130561 0.1313134
0.9642857 0.9773656 0.03517606 0.08146308 0.1270355
0.9 0.9976487 0.01781917 0.1032614 0.1113479
0.9268293 0.991705 0.02883957 0.1114931 0.1958509
0.8947368 0.8943177 0.1072054 0.1406496 0.2065803
0.9210526 0.9735324 0.03016194 0.1461987 0.2255482
0.9444444 1 0.001754386 0.01907799 0.01333631
0.9148936 0.9910416 0.05088826 0.07650268 0.1604451
1 0.9977414 0.002258611 0.02507591 0.02223925
0.8571429 0.9869752 0.04159825 0.121485 0.1785796
0.9545455 0.9707792 0.04150198 0.09135578 0.1491277
0.9473684 0.9870004 0.01859193 0.09475646 0.133805
0.8846154 0.9740689 0.05177045 0.1080588 0.1841332
0.8085106 0.982677 0.058033 0.2112361 0.2590068
1 1 0 0 0
0.875 0.9390065 0.068363 0.1554428 0.206978
0.8541667 0.9835524 0.02524099 0.1019802 0.1166569
0.8684211 0.9935132 0.03714848 0.1169093 0.1638944
0.9285714 0.9866799 0.01870097 0.08713433 0.09272767
0.9268293 0.9752152 0.03576696 0.1005609 0.141366
0.92 0.8786411 0.1259544 0.1291804 0.1634354
0.8823529 0.995318 0.009693574 0.08331878 0.1160588
0.9782609 0.997877 0.003435605 0.026122 0.04399905
0.9166667 0.978121 0.02785953 0.09596432 0.1249564
0.8333333 1 0.02907268 0.1032488 0.1102515
0.95 0.9879685 0.017635 0.0756182 0.1019707
0.8709677 0.9926719 0.01532258 0.1089783 0.1238717
0.8787879 0.9097263 0.1237968 0.1422557 0.1812206
0.8611111 1 0.01973854 0.07693043 0.07630515
0.9534884 0.9568374 0.04522299 0.1425925 0.2093069
1 0.9581028 0.04189723 0.09091586 0.1116583
1 0.9629588 0.03704122 0.0781148 0.1179997
0.9210526 0.9944876 0.008239414 0.07435383 0.09779648
1 0.9679198 0.0320802 0.07351823 0.1017875
0.8780488 0.9919368 0.01354023 0.1147905 0.1676069
0.8846154 0.9443675 0.07672772 0.1191794 0.2963302
0.9130435 0.9970847 0.00488745 0.07928108 0.08204321
0.8181818 0.9943184 0.01856176 0.1253046 0.1411067
0.902439 1 0.003727413 0.03327267 0.02627018
1 1 0 0 0
0.826087 0.9040195 0.1066798 0.217508 0.2766382
0.9615385 0.9959269 0.007873353 0.05386 0.06115563
0.8518519 1 0.0247358 0.08552777 0.08646375
0.9512195 0.9642991 0.03716068 0.08690093 0.1203672
0.8214286 0.920119 0.1085021 0.166776 0.2515995
0.875 1 0.01632769 0.06201797 0.06044536
0.9166667 0.9833449 0.03605351 0.1028407 0.134789
0.8888889 0.9927385 0.03145131 0.09765041 0.1088965
0.8571429 1 0.02380952 0.07695838 0.06262106
0.825 0.9996416 0.01430358 0.1031765 0.100165
1 0.995098 0.004901961 0.03661169 0.03227958
0.8809524 0.934852 0.1168205 0.1328116 0.2118664
1 0.9152427 0.08475735 0.1886707 0.2623161
0.9487179 0.9392836 0.06405648 0.1026239 0.1991789
0.9318182 0.9449391 0.05981555 0.1127507 0.2248961
0.975 0.9930876 0.01628697 0.02762182 0.1105035
0.9142857 0.9916676 0.0187699 0.08312557 0.08883068
0.95 0.9950132 0.01148325 0.06038196 0.07335554
0.974359 0.9941066 0.00823541 0.02806967 0.04890942
0.8064516 0.982584 0.03547165 0.1473713 0.195494
0.8571429 1 0.03009599 0.07758911 0.0768506
0.962963 1 0.001936761 0.01154198 0.007968045
1 0.9904274 0.00957265 0.05834608 0.08404507
0.8863636 0.998948 0.01751999 0.1055676 0.1113945
0.9444444 0.9945931 0.01917632 0.0792651 0.08782419
0.9347826 0.931816 0.07160792 0.1014153 0.1432834
1 0.9133127 0.08668731 0.08537364 0.1029015
0.925 0.9708586 0.04005348 0.1393243 0.1778786
0.8510638 0.9997389 0.08438898 0.1179617 0.1255234
0.8387097 0.9891995 0.02182307 0.1140889 0.1510518
0.8571429 0.9735656 0.05931988 0.1358587 0.2129728
0.8974359 0.9720197 0.04489977 0.1142135 0.1895634
0.78125 0.9647147 0.1254205 0.2527073 0.373645
